abstract,authors,n_citation,references,title,venue,year,id
,['Gustav Bergmann'],0,,Contextual Definitions in Nonextensional Languages,Journal of Symbolic Logic,1948,c3ea369c-df3a-4000-b29a-7a8b677f2a79
,['John G. Kemeny'],50,['3fca2601-6e10-463d-9741-87d3c18718e6'],Models of Logical Systems,Journal of Symbolic Logic,1948,6f659c20-9b7b-4764-9a69-315d5905e5ff
,['Gustav Bergmann'],0,,A Syntactical Characterization of S5,Journal of Symbolic Logic,1949,edd27017-8bc5-4574-b7e9-d1c54a15891c
,['John R. Myhill'],0,,Note on an Idea of Fitch,Journal of Symbolic Logic,1949,6194ee7a-6f97-4814-baa6-934b8a677c28
,['Frederic B. Fitch'],50,,A further consistent extension of basic logic,Journal of Symbolic Logic,1950,b4618d2d-99ca-4abf-a8eb-07d63a114930
,['Nelson Goodman'],50,,An Improvement in the Theory of Simplicity,Journal of Symbolic Logic,1950,fea13dca-b868-456a-a6c3-d85099405e55
,['Hao Wang'],50,,Existence of classes and value specification of variables,Journal of Symbolic Logic,1950,915b695e-a91f-462e-b1a2-7de962a4b195
,['Leon Henkin'],618,[],Completeness in the Theory of Types,Journal of Symbolic Logic,1950,d80c00eb-628d-42f8-8c82-03b030276aab
,['Frank Harary'],1,,On Complete Atomic Proper Relation Algebras,Journal of Symbolic Logic,1950,8002c1e2-2e32-493e-b945-2fa67539e715
,['Frederic B. Fitch'],50,,A Demonstrably Consistent Mathematics--Part I,Journal of Symbolic Logic,1950,db315589-7254-4cc1-87e9-b4a506e119fa
"consider some of the inherent limitations of the method of using inner models of the type defined in 1.2 for the proof of consistency results for the particular system of set theory under consideration. Roughly speaking this limitation may be described by saying that practically no further consistency results can be obtained by the construction of models satisfying the conditions of theorem 1.5, i.e., conditions 1.31, 1.32, 1.33, 1.51, viz.:",['J. C. Shepherdson'],50,[],INNER MODELS FOR SET THEORY-PART III,Journal of Symbolic Logic,1951,ad87498e-7a57-4076-88ba-8be4f5032293
,['John R. Myhill'],2,,A Finitary Metalanguage for Extended Basic Logic,Journal of Symbolic Logic,1952,7e05a0bd-4e00-4a02-a482-f9f327e64837
,['John R. Myhill'],50,,A derivation of number theory from ancestral theory,Journal of Symbolic Logic,1952,6ff17cfa-de74-4713-b26d-65cb392efd98
"Editorial about the founding of the Journal of the Operations Research Society of America. Operations Research, ISSN 0030-364X, was published as Journal of the Operations Research Society of America from 1952 to 1955 under ISSN 0096-3984.",['Philip M. Morse'],50,,The Operations Research Society of America,Operations Research,1952,aa27e421-835d-4830-853f-a2c28b4ec3c3
,['Haskell B. Curry'],52,['b655ab94-af36-4a7e-890f-959d2e58b416'],The elimination theorem when modality is present,Journal of Symbolic Logic,1952,a332c8b1-f484-47b9-a74e-3b3a6dc72094
,['J. Barkley Rosser'],9,[],The axiom of infinity in Quine's New Foundations,Journal of Symbolic Logic,1952,6bdf8b93-5f7c-4ecc-82d9-53bedd92c972
"When a limited amount of effort is available for the performance of two related tasks, the practical of how it is to be divided between them in order to obtain the best over-all result is one which constantly arises in operations research. The object of the present paper is to show how the question can often be put in quantitative form, and then to give it a simple mathematical solution in illustrative cases, interpreting the results in the language of recommended procedures. Operations Research, ISSN 0030-364X, was published as Journal of the Operations Research Society of America from 1952 to 1955 under ISSN 0096-3984.",['B. O. Koopman'],76,,The Optimum Distribution of Effort,Operations Research,1953,5aa9d14c-1075-4dbb-9855-3c67c94e372c
,['D. M. Mackay'],0,,Discussion on Dr. Mackay's paper on 'Quantum Aspects of Scientific Information',IEEE Transactions on Information Theory,1953,f0504f60-86ea-4e13-aa88-4c2c581334cd
,['Claude E. Shannon'],3,,Discussion on Dr. Shannon's papers,IEEE Transactions on Information Theory,1953,9268073f-3cdd-4f53-ac96-f1be0d7183bf
"A typical communication system consists of the following five elements: (1) An information source. This can be considered to be represented mathematically by a suitable stochastic process which chooses one message from a set of possible messages. The rate R of producing information is measured by the entropy per symbol of the process. (2) An encoding or transmitting element. Mathematically this amounts to a transformation applied to the message to produce the signal, i.e., the encoded message. (3) A channel on which the signal is transmitted from transmitter to receiver. During transmission the signal may be perturbed by noise. (4) A receiving and decoding (or demodulating) device which recovers the original message from the received signal. (5) The destination of the information, e.g., the human ear (for telephony) or the eye (for television). The characteristics of the destination may determine the significant elements of the information to be transmitted. For example, with sound transmission, precise recovery of the phases of components is not required because of the insensitivity of the ear to this type of distortion.",['Claude E. Shannon'],10,[],General treatment of the problem of coding,IEEE Transactions on Information Theory,1953,c08173f9-153e-49ab-bd03-8f4816f1665a
,"['L. D. Wilson', 'Saul Meyer']",0,,The Model II Unityper,IEEE Transactions on Electronic Computers,1953,2d0c6520-594d-476d-a74a-8303ead5b3a6
"1. Object. The aim of this paper is to present a decision procedure which seems to be as easy to use as other available procedures in quantification theory, but which is considerably stronger than the others, providing a mechanical test for a sub-species of polyadic validity which is very much broader than monadic validity.2 Of course, a test for polyadic validity in general is out of the question, but the present test's limits, short of polyadic validity, are not known. That is, of all the polyadically valid schemata which have been tested, none has failed to yield decisions under this method. The material thus examined includes schemata corresponding to the cases of all absolute metatheorems in ML's3 Chapters II and III, and five polyadic samples4 from MeL. The handiness of this test is illustrated by sample applications in ? 3 below. 2. Terminology. The logical symbolism used here follows much the same familiar pattern as that of MeL. Thus 'p' through 't' represent, or stand in place of, statements, and 'F', 'G', 'H', 'J', and 'K' similarly represent predicates.5 'ip', 'q', 'Gx', 'Hx', 'Hxyz', and so on, are schemata, and the results of putting schemata in the blanks of '( . )' or '( V )', or after I', or after quantifiers such as '(x)', '(y)', and so on, are schemata in turn. Schemata of the last four kinds are conjuncts, disjuncts, negations, and quanti/ications, respectively. Then 'D', and other familiar propositional connectives are defined as usual, in terms of these three propositional symbols. Thus '(p D q)' abbreviates '(u.'p V q)', and '(p = q)' abbreviates '(p D q qD :P5)'. As usual, '(3x)', '(3y)' and the like abbreviate ' .'(x) A', '-(y)'-, and so on, correspondingly. A quantifier-occurrence is said to cover every part of the schema-occurrence to which it is prefixed. A quantifier-occurrence binds its own variable-occurrence, and also any unbound occurrences of its variable which",['Robert L. Stanley'],50,[],An extended procedure in quantificational logic,Journal of Symbolic Logic,1953,bdeb48c4-20d6-42dd-8de3-092c09c5c090
"The management of an industrial enterprise is constantly faced with the problem of deciding how much advertising, selling, or promotional effort is economically justified. A reasonable response to this question implies at least an intuitive knowledge of the relation between sales volume and promotional effort. This paper presents a case study of the development of such a relationship. Operations Research, ISSN 0030-364X, was published as Journal of the Operations Research Society of America from 1952 to 1955 under ISSN 0096-3984.",['John Magee'],5,,The Effect of Promotional Effort on Sales,Operations Research,1953,971385f9-5a5e-42a0-bc37-c7c5397528a3
,"['Carl Ellis Howe', 'Robert M. Howe']",0,,Solution of Linear Differential Equations with Variable Coefficients by the Electronic Differential Analyzer,IEEE Transactions on Electronic Computers,1953,2cb60f72-cc98-4fc6-919c-7bf2bddd58f5
,['R. L. Goodstein'],0,[],A PROBLEM IN RECURSIVE FUNCTION THEORY,Journal of Symbolic Logic,1953,d9471b2c-a2f6-4cd4-9491-a72a8085f9d6
"Many business, economic, and engineering problems involve devising means of achieving optimal results in the face of a series of restrictions. These restrictions may assume a variety of forms. Plant or machine capacities, labor requirements, market restrictions, procedural and policy conditions, financial limitations, etc., are examples common to many kinds of business. Other examples may be specialized to more narrow groups of firms. It is, therefore, desirable to develop modes of attacking such problems which will provide a general and economical method of (1) determining best or optimal solutions within the stipulated limitations and (2) assessing the economic cost of the restrictions and, therefore, the worthwhileness of altering them. Operations Research, ISSN 0030-364X, was published as Journal of the Operations Research Society of America from 1952 to 1955 under ISSN 0096-3984.","['A. Charnes', 'William W. Cooper', 'Donald Farr']",50,,Linear Programming and Profit Preference Scheduling for a Manufacturing Firm,Operations Research,1953,5b187105-6ddd-435c-a397-6eebe89c721e
"This paper is an attempt to clarify some aspects of the approach to experimentation suggested by the author in a recent publication in the Philosophical Magazine, (hereafter referred to as P.M.). The concept of ""amount of information"" is shown to have three distinct senses in current literature. Two of these are definable as numerical features of the logical pattern of propositional relations which we make to represent a result. The third measures the relative unexpectedness of the pattern, which may or may not be connected with its numerical features. Since logical patterns can be built up from discrete quantal elements, the information enabling them to be built is quantised by our use of 'yes-or-no' logical forms as scientific statements. The number of discrete 'elementary propositions' in a given description cannot be altered by any complete reformulation. This is seen to be the basis of our ability to 'barter' certain quantities for one another - e.g. accuracy for speed of response in a galvanometer or a communication-channel. The term ""selective information"" is suggested to distinguish the third sense of 'information' (called amount of detail in P.M.) from the first two, whioh measure respectively the number of independent features (structural information) and the weight of evidence or precision (metrical information) in a result. 'Selective information' is the measure of information currently used by communication engineers, and a distinguishing title appears to be essential. From the standpoint here adopted the various uncertainty-relations of physics illustrate a general axiom expressing the quantal nature of the logical descriptions which we make. Some other practical and theoretical implications of the theory are examined.",['D. M. Mackay'],110,[],Quantal aspects of scientific information,IEEE Transactions on Information Theory,1953,b399d0fa-aa41-414d-b002-f207d72a4fbf
,['D. M. Mackay'],100,,The nomenclature of information theory,IEEE Transactions on Information Theory,1953,51418961-79f9-462d-b587-45047509426f
,['Theodore Hailperin'],46,[],Quantification Theory and Empty Individual-Domains,Journal of Symbolic Logic,1953,947eeb24-608f-4b9f-b414-8ae29112a18d
,['D. M. Mackay'],0,,"Discussion on Mr. Mackay's paper ""Entropy, Time and Information""",IEEE Transactions on Information Theory,1953,b7b9d9df-2ee9-4511-bbf3-86de38492e82
,['D. M. Mackay'],3,['b399d0fa-aa41-414d-b002-f207d72a4fbf'],"Entropy, time and information (Introduction to discussion)",IEEE Transactions on Information Theory,1953,72043f89-29d1-4b12-9061-69c6c1c4a6cc
"In any branch of applied mathematics, the vague and ambiguous concepts of a physical problem are given a more refined and idealized meaning. In information theory, one of the basic notions is that of the amount of information associated with a given situation. ""Information"" here, although related to the everyday meaning of the word, should not be confused with it. In everyday usage, information usually implies something about the semantic content of a message. For the purposes of communication theory, the ""meaning"" of a message is generally irrelevant; what is significant is the difficulty in transmitting the message from one point to another.",['Claude E. Shannon'],12,[],Communication theory--Exposition of fundamentals,IEEE Transactions on Information Theory,1953,8dc7b347-e77c-46f6-ae89-1ad89607239f
,['Alan Rose'],1,[],The $M$-Valued Calculus of Non-Contradiction,Journal of Symbolic Logic,1953,8b1aab6c-8c3a-4f99-bdc5-3acd3ac1784d
"No abstract available. Operations Research, ISSN 0030-364X, was published as Journal of the Operations Research Society of America from 1952 to 1955 under ISSN 0096-3984.",['Glen D. Camp'],0,,Letters to the Editor—Feedback Control of Continuing Operations,Operations Research,1953,ef4e39d5-3e75-471f-ad52-257601e03c62
"The word ""information"" has been given many different meanings by various writers in the general field of information theory. It is likely that at least a number of these will prove sufficiently useful in certain applications to deserve further study and permanent recognition. It is hardly to be expected that a single concept of information would satisfactorily account for the numerous possible applications of this general field. The present note outlines a new approach to information theory which is aimed specifically at the analysis of certain communication problems in which there exist a number of information sources simultaneously in operation. A typical example is that of a simple communication channel with a feedback path from the receiving point to the transmitting point. The problem is to make use of the feedback information for improving forward transmission, and to determine the forward channel capacity when the best possible use is made of this feedback information. Another more general problem is that of a communication system consisting of a large number of transmitting and receiving points with some type of interconnection network between the various points. The problem here is to formulate the best systems design whereby, in some sense, the best overall use of the available facilities is made. While the analysis sketched here has not yet proceeded to the point or a complete solution of these problems, partial answers have been found and it is believed that a complete solution may be possible.",['Claude E. Shannon'],53,,The lattice theory of information,IEEE Transactions on Information Theory,1953,633518fb-49d3-45cd-93fb-9adc544eb88b
"A general discussion of ideas and definitions relating to self-organizing systems and their synthesis is given, together with remarks concerning their simulation by digital computer. Synthesis and simulation of an actual system is then described. This system, initially randomly organized within wide limits, organizes itself to perform a simple prescribed task.","['B. G. Farley', 'W. A. Clark']",176,[],Simulation of self-organizing systems by digital computer,IEEE Transactions on Information Theory,1954,4dda5970-d52f-4772-9c82-21ea5142baa1
,['Robert Price'],50,[],The detection of signals perturbed by scatter and noise,IEEE Transactions on Information Theory,1954,eafd6cf1-15be-466d-b2a1-51d889832a5f
Two specific cases of signal detection involving uncertainty in the frequency of a sound signal are compared with the case of the signal-known-exactly. In the first case the signal is either of two known frequencies; in the second case the signal is any frequency within a given range. It is suggested that detection behavior that is optimal for the three cases requires a deal mechanism: a combination of a wide-open receiver end a panoramic receiver. Evidence is presented that supports the existence of such a mechanism. Estimates of the bandwidth end seen-rate of the receiver are included.,"['Wilson P. Tanner', 'Robert Z. Norman']",50,['2c511277-467b-44c5-957c-d80bb2285f7f'],The human use of information--II: Signal detection for the case of an unknown signal parameter,IEEE Transactions on Information Theory,1954,80df0d20-2655-458c-8b6a-775ad726222d
,['J. R. Shoenfield'],12,[],A Relative Consistency Proof,Journal of Symbolic Logic,1954,9656c34d-00ed-4418-9b00-23df6e2b6333
"A relation between the distribution of customer-servicing times and that of customer-waiting times is derived for the case of a single-channel queue with random arrivals and the rule of “first come, first served” establishing the order of service. The queue is assumed to be in a state of statistical equilibrium. The relation holds for a large class of the servicing-time distributions that occur in practice, in particular the cases of constant, exponential, and Type III Pearson servicing times. The derivation takes into account changes in the magnitude of demand from customer to customer, changes that may exist in many of the situations in which the theory is likely to be applied. Using the theory, the characteristics of the waiting-time distributions associated with several specific types of servicing-time distributions are discussed. It is shown that if it is possible to make the right sort of alterations in servicing-time distributions considerable reduction in customer waiting times can be made. The an...",['D. P. Gaver'],6,,The Influence of Servicing Times in Queuing Processes,Operations Research,1954,a3c46d87-5a09-4d45-8c19-5bec9cbdd831
,['C. C. Gotlieb'],50,,Running a Computer Efficiently,Journal of the ACM,1954,cf3a6073-f875-4de6-915e-ddfd7f8d38cf
,['Irving S. Reed'],654,[],A class of multiple-error-correcting codes and the decoding scheme,IEEE Transactions on Information Theory,1954,5630ff99-c3c0-4ecb-8ccb-4456db45978d
"Training for operations research may be considered under three general headings: on-the-job training in existing groups, formal academic training in universities; and training of users of operations research, both actual and potential. Operations Research, ISSN 0030-364X, was published as Journal of the Operations Research Society of America from 1952 to 1955 under ISSN 0096-3984.",['Joseph F. McCloskey'],50,,Training for Operations Research,Operations Research,1954,86dce9eb-21d8-444c-a1fb-99b8a76f98d9
,['Peter Elias'],667,[],Error-free Coding,IEEE Transactions on Information Theory,1954,a0d69c45-6eba-498f-b8be-8e49615e5da2
"The purpose of this paper is to provide an expository account of the theory of dynamic programming. To illustrate the general principles, two particular problems, one of deterministic type and one of stochastic type, are treated. Operations Research, ISSN 0030-364X, was published as Journal of the Operations Research Society of America from 1952 to 1955 under ISSN 0096-3984.",['Richard Bellman'],84,,SOME APPLICATIONS OF THE THEORY OF DYNAMIC PROGRAMMING - A REVIEW,Operations Research,1954,903572cc-da44-4e1e-b3bf-acf2b5f6611f
,['Theodore Hailperin'],50,['7dc8b493-dd60-4580-bcd2-cea02ca46473'],Remarks on Identity and Description in First-Order Axiom Systems,Journal of Symbolic Logic,1954,5630d82d-c951-492c-92b8-183bb6885f29
"The stochastic properties of waiting lines may be analyzed by a two-stage process: first solving the time-dependent equations for the state probabilities and then utilising these transient solutions to obtain the auto-correlation function for queue length and the root-mean-square frequency spectrum of its fluctuations from mean length. The procedure is worked out in detail for the one-channel, exponential service facility with Poisson arrivals, and the basic solutions for the m-channel exponential service case are given. The analysis indicates that the transient behavior of the queue length n(t) may be measured by a “relaxation time,” the mean time any deviation of n(t) away from its mean value L takes to return (1/e) of the way back to L. This relaxation time increases as (1 − ρ)−2 as the utilization factor ρ approaches unity, whereas the mean length L increases as (1 − ρ)−1. In other words, as saturation of the facility is approached, the mean length of line increases; but, what is often more detrimenta...",['Philip M. Morse'],113,,STOCHASTIC PROPERTIES OF WAITING LINES,Operations Research,1955,fa7c5038-ff92-49d6-8812-10aeb56fbb01
,['R. Sherman Lehman'],102,[],On confirmation and rational betting,Journal of Symbolic Logic,1955,bc176ca4-593f-428e-8aa4-1f706a51b966
"The rapid expansion in the use of mathematical methods of inventory control and production scheduling brought about in the last few years through the efforts of an active group of operations analysts and econometricians has led me to reflect on the forces that determine the directions in which new developments and new ideas such as operations research are channeled. Operations Research, ISSN 0030-364X, was published as Journal of the Operations Research Society of America from 1952 to 1955 under ISSN 0096-3984.",['William J. Horvath'],50,,Letter to the Editor—Some Thoughts on Operations Research on Municipal Operations,Operations Research,1955,da097a9f-f175-4b1a-8c53-d8cf3495282a
"Several functional arrangements useful in conjunction with a parallel magnetic-drum memory are described with general reference to their application in an experimental telephone-switching system. The functions included are detection and registration of input information, counting, timing, transfer of information from one drum location to another, and translation of information from one form to another.","['William A. Malthaner', 'H. E. Vaughan']",50,[],Control Features of a Magnetic-Drum Telephone Office,Ire Transactions on Electronic Computers,1955,6a044306-a1ce-44ae-92e9-8bc79053631e
"A detailed analysis of the general binary channel is given, with special reference to capacity (both separately and in cascade), input and output symbol distributions, and probability of error. The infinite number of binary channels with the same capacity lie on double-branched equicapacity lines. Of the channels on the lower branch of a given equicapacity line, the symmetric channel has the smallest probability of error and the largest capacity in cascade, unless the capacity is small, in which case the asymmetric channel (with one noiseless symbol) has the smallest probability of error and the largest capacity in cascade. By simply reversing the designation of the output (or input) symbols, we can decrease the probability of error of any channel on the upper branch of the equi-capacity line and increase the capacity in cascade of any asymmetric channel on the upper branch. In a binary channel neither symbol should be transmitted with a probability lying outside the interval [1/e, 1 - (1/e)] if capacity is to be achieved. The maximally asymmetric input symbol distributions are approached by certain low-capacity channels. For these channels, redundancy coding permits an appreciable fraction of capacity in cascade if sufficient delay can be tolerated.",['Richard A. Silverman'],88,[],On binary channels and their cascades,IEEE Transactions on Information Theory,1955,83661fed-cbaf-46f7-ade4-b5dac86802ed
"I am indebted to Dr. John M. Danskin for pointing out the fact that my proof for additive effects in my paper on “Numerical Solution of the Problem of Optimum Distribution of Effort” in the November 1954 issue of this Journal (vol. 2, p. 433) is not entirely rigorous. Operations Research, ISSN 0030-364X, was published as Journal of the Operations Research Society of America from 1952 to 1955 under ISSN 0096-3984.",['William Miehle'],0,,Letter to the Editor—Problem of Optimum Distribution of Effort—A Correction,Operations Research,1955,b8a83269-1870-4d1c-956d-8832e962bc7c
,"['Herman Rubin', 'Patrick Suppes']",50,[],A note on two-place predicates and fitting sequences of measure functions,Journal of Symbolic Logic,1955,53de4a0f-a842-4584-a7ce-3c29538982d3
"Speech given at the dinner of the Seventh National Meeting of the Society in Los Angeles on August 15, 1955. Operations Research, ISSN 0030-364X, was published as Journal of the Operations Research Society of America from 1952 to 1955 under ISSN 0096-3984.",['Philip M. Morse'],50,,Where is the New Blood,Operations Research,1955,c2573d0f-148c-4131-9657-7fb2160b2ebd
"In Part I predictive coding was defined and messages, prediction, entropy, and ideal coding were discussed. In the present paper the criterion to be used for predictors for the purpose of predictive coding is defined: that predictor is optimum in the information theory (IT) sense which minimizes the entropy of the average error-term distribution. Ordered averages of distributions are defined and it is shown that if a predictor gives an ordered average error term distribution it will be a best IT predictor. Special classes of messages are considered for which a best IT predictor can easily be found, and some examples are given. The error terms which are transmitted in predictive coding are treated as if they were statistically independent. If this is indeed the case, or a good approximation, then it is still necessary to show that sequences of message terms which are statistically independent may always be coded efficiently, without impractically large memory requirements, in order to show that predictive coding may be practical and efficient in such cases. This is done in the final section of this paper.",['Peter Elias'],105,[],Predictive coding--II,IEEE Transactions on Information Theory,1955,5eded567-8080-4a1b-9e33-1ca174ed5db0
,['Bernard Lippel'],50,['bd1c2b41-f5e1-4b9b-bab2-29e959928f42'],A Decimal Code for Analog-to-Digital Conversion,Ire Transactions on Electronic Computers,1955,6d1c0335-4427-4b2e-804a-1dadaea79410
,['Alan Ross Anderson'],6,,Correction to a Paper on Modal Logic,Journal of Symbolic Logic,1955,d497b0fd-b1d8-4176-9565-e297de94652d
,"['Benjamin F. Logan', 'George R. Welti', 'George C. Sponsler']",50,[],Analogue Study of Electron Trajectories,Journal of the ACM,1955,9e77c384-3bd3-404a-9715-4da2e5a30545
"An analysis of the functional representation of the carry digits in the addition process shows that the one-megacycle circuitry of SEAC and DYSEAC can be organized logically to permit the formation of many successive carries simultaneously. The Boolean expression for any carry digit Ck can be expanded so as to be an explicit function of only the input digits of orders k to k-p+1 and of the carry digit Ck-p. Certain factorizations can then be made to simplify these expressions so that all of them fall within the limitations on the gating complexity imposed by the circuitry. A parallel adder utilizing this principle is developed which is capable of adding two 53-bit numbers in one microsecond, with relatively few additional components over those required in a parallel adder of more conventional design.","['Arnold Weinberger', 'J. L. Smith']",16,[],A One-Microsecond Adder Using One-Megacycle Circuitry,Ire Transactions on Electronic Computers,1956,579bfefd-7fbf-4345-b1ff-12c8647658e2
"We present a method for demonstrating the consistency of von NeumanGodel set theory E (or Zermelo set theory E') relative to various other formal set theories. When a model for a logic L1 is constructed, there are two other logics involved: L2, the system which contains the model, and L3, the metalogic in which the argument that L2 contains a model for L1 is carried out. These three systems need not of course all be distinct. In [2] L1 is E strengthened by the axiom V = L, L2 is E, and L3 is unformalized. In the present paper L1 will be either E or E'. The basic idea for proving the relative consistency of L1 with respect to some other system L2 is to construct in L2 a model for L1 similar to the model constructed in [2]. Since L2 may be some kind of type theory, the function corresponding to Gddel's function F must be modified in a suitable manner. In verifying the relativized versions of axioms of L1 in L2, we shall have to overcome certain special problems depending on the system L2 and not met with in [2]. Except for the remarks at the end of Section 2, we shall not consider the question of formalizing L3, i.e. we use intuitive logic as our metalogic. In Section 1 we illustrate the method by demonstrating the consistency of E relative to the system ML"" obtained by adding E of [4] as an axiom",['Steven Orey'],1,['425999cc-8bb8-49a7-bc22-c92ff1bdae21'],ON THE RELATIVE CONSISTENCY OF SET THEORY),Journal of Symbolic Logic,1956,df21b134-27a7-4bea-9616-1d47c41423bb
,['John G. Kemeny'],50,,A new approach to semantics – Part I,Journal of Symbolic Logic,1956,c14b78ef-4d0f-42dd-8c0b-769bc7bc9183
,['Alan Ross Anderson'],1,,Independent Axiom Schemata for S5,Journal of Symbolic Logic,1956,5c754c16-b5c6-466b-8dec-73520abd05eb
"The complexity of an electronic switching circuit is defined in a sufficiently general way so that most definitions which are presently used may be included. If ?(p, q) is the complexity of a p input q output circuit which has been minimized then we may define E(p, q) as the maximum of ?(p, q) over all p input, q output circuits. In spite of the generality of the definition of complexity one may obtain the following inequality which gives upper and lower bounds on this maximum complexity: C12r/r?E(p, q)?C22r/r where r = p+log2 q. In this expression C1 and C2 are constants independent of p and q which depend upon the definition of complexity. These theoretical bounds are compared with those obtained from a few known circuiit designs.",['David E. Muller'],115,['4ef3d0f5-c96c-4c38-85de-ad66dcf8bf9c'],Complexity in Electronic Switching Circuits,Ire Transactions on Electronic Computers,1956,ab789c51-36bc-47a7-beda-536f08748967
"The zero error capacity C_o of a noisy channel is defined as the least upper bound of rates at which it is possible to transmit information with zero probability of error. Various properties of C_o are studied; upper and lower bounds and methods of evaluation of C_o are given. Inequalities are obtained for the C_o relating to the ""sum"" and ""product"" of two given channels. The analogous problem of zero error capacity C_oF for a channel with a feedback link is considered. It is shown that while the ordinary capacity of a memoryless channel with feedback is equal to that of the same channel without feedback, the zero error capacity may be greater. A solution is given to the problem of evaluating C_oF .",['Claude E. Shannon'],1223,,The zero error capacity of a noisy channel,IEEE Transactions on Information Theory,1956,e6929043-e58a-441d-8937-92db518e6dc6
Many papers have been written about the reflected binary system and it is well known in the computer field for analog-to-digital conversion. The method used in creating this system may be extended to systems of bases other than two. It is the purpose of this paper to carry this extension to its logical conclusion. The author describes how reflected systems of different bases may be composed. The equations for translating between the conventional and reflected systems are then derived. It is also demonstrated how the reflected binary system is a special case of reflected number systems and how the general case simplifies for the reflected binary case.,['Ivan Flores'],50,['14a10143-0231-42dd-a3f5-76284f92834d'],Reflected Number Systems,Ire Transactions on Electronic Computers,1956,90d1b303-e303-40e8-a17c-ff9fc0a1c98b
A statistical procedure has been tried as a method of investigating the structure of language with the aid of data processing machines. The frequency of gaps of various lengths between occurrences of two specified words is counted. The results are compared with what would be expected if the occurrences of the two words were statistically independent. Deviations from the expected number give clues to the constraints that operate between words in a language.,['Victor H. Yngve'],50,[],Gap analysis and syntax,IEEE Transactions on Information Theory,1956,cd9f2f0b-a99f-4663-bac8-3181ac034d02
,['W. V. Quine'],20,['3fca2601-6e10-463d-9741-87d3c18718e6'],Unification of Universes in Set Theory,Journal of Symbolic Logic,1956,a5c3f6da-d65e-4299-99c2-865e976b48c8
"A method is developed for finding the ordinates of a digital filter which will produce a general linear operator of the signal S(t) such that the mean square error of prediction will be a minimum. The input to the filter is sampled at intervals \Delta t . The samples contain stationary noise N(j\Delta t) , a stationary signal component, M(j\Delta t) , and a nonrandom signal component, \begin{equation} P(j\Delta t) = \sum_{k=0}^n a_k P_k (j\Delta t) \end{equation} where the subset of nonrandom functions P_k (t) are known a priori, but the parameter vector a = (a_o, a_l, \cdots, a_n) need not be. The solution is obtained as a matrix equation which relates the ordinates of the digital filter to the autocorrelation properties of M(t) and N(t) and the nature of the prediction operation.",['Marvin Blum'],50,[],An extension of the minimum mean square prediction theory for sampled input signals,IEEE Transactions on Information Theory,1956,f67a5562-17ec-4273-8d1a-10d661a3b68b
"Circuits for the recycling of pulses by means of a driving tube and an electromagnetic delay line have been developed, The necessary characteristic for the driving tube is shown and the effects of the delay line on the amplitude and width of pulses with respect to recycling operation are explained. Two modes of operation of these circuits are possible. One mode of operation allows any number of pulses in a recycling period, the number being limited only by the time space on the delay line. The other mode restricts the number of pulses in a recycling period to a particular value. Experimental circuits are shown which have been used as generators of pulses as short as 5 millimicroseconds at frequencies as high as 50 mc. Other circuits are shown which can be used as memory circuits for the storage of a number of these short pulses.","['Z. Bay', 'N. T. Grisamore']",0,[],Pulse Generator and High-Speed Memory Circuit,Ire Transactions on Electronic Computers,1956,5d8f9bbe-01f4-4a48-a762-40bd65ca5d94
